CreateDate,Account,CustomerID,CustomerType,AccountNumber,Billing Address,Service Address,ServiceType,RatePlan,AccountStatus
2024-07-01,101160,1040,Residential,RESI-101160,1001 ElmDr  DXdoikvlburg  Texas USA,1001 ElmDr  DXdoikvlburg  Texas USA,Water,fixed-rate,Active
2025-04-18,101068,958,Residential,RESI-101068,1004 OakPl  JOnlraukborough  New Jersey USA,1004 OakPl  JOnlraukborough  New Jersey USA,Gas,variable-rate,Active
2021-01-18,101666,1483,Residential,RESI-101666,1006 GreenDr  LakeBrookport  Texas USA,1006 GreenDr  LakeBrookport  Texas USA,Gas,time-of-use,Inactive
2022-01-17,101700,1510,Residential,RESI-101700,101 ParkRd  MountHamfield  Texas USA,101 ParkRd  MountHamfield  Texas USA,Gas,fixed-rate,Inactive
2024-06-16,101701,1511,Commercial,COMM-101701,1011 GrandCourt  BrightHamburg  Texas USA,1011 GrandCourt  BrightHamburg  Texas USA,Electric,variable-rate,Active
2025-06-28,105470,4875,Commercial,COMM-105470,1011 StoneDr  EMlhqtqodale  Illinois USA,1011 StoneDr  EMlhqtqodale  Illinois USA,Electric,fixed-rate,Active
2022-04-07,103160,2813,Residential,RESI-103160,1012 HillAve  EastHavenford  Texas USA,1012 HillAve  EastHavenford  Texas USA,Electric,time-of-use,Active
2025-02-07,102833,2528,Small Commercial,SMALLCOMM-102833,1012 LakeAve  BrightPointview  Maryland USA,1012 LakeAve  BrightPointview  Maryland USA,Electric,variable-rate,Active
2023-06-14,103726,3329,Small Commercial,SMALLCOMM-103726,1013 LakeLn  GIdxawford  Texas USA,1013 LakeLn  GIdxawford  Texas USA,Gas,time-of-use,Active
2021-06-10,104343,3880,Residential,RESI-104343,1015 SunDr  CYrtfvhborough  Texas USA,1015 SunDr  CYrtfvhborough  Texas USA,Electric,time-of-use,Active
2024-02-09,102283,2029,Small Commercial,SMALLCOMM-102283,1016 PineTerrace  WRihqside  Pennsylvania USA,1016 PineTerrace  WRihqside  Pennsylvania USA,Gas,variable-rate,Inactive
2020-12-05,102584,2303,Residential,RESI-102584,1023 RiverCourt  TZiqulfohill  Texas USA,1023 RiverCourt  TZiqulfohill  Texas USA,Electric,fixed-rate,Active
